over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
0,0,19,10,9,100.0,175.0,TA Boult
1,0,18,10,13,25.0,150.0,KH Pandya
2,-1,17,10,33,100.0,300.0,TA Boult
3,0,16,9,34,0.0,0.0,JJ Bumrah
4,0,15,9,40,100.0,0.0,NM Coulter-Nile
5,0,14,9,51,183.33333333333331,0.0,TA Boult
6,-2,13,9,62,100.0,116.66666666666667,KA Pollard
7,0,12,9,71,100.0,160.0,RD Chahar
8,0,11,9,75,50.0,100.0,NM Coulter-Nile
9,0,10,8,87,0.0,100.0,RD Chahar
10,0,9,8,102,100.0,400.0,KA Pollard
11,0,8,8,105,50.0,50.0,RD Chahar
12,0,7,7,108,150.0,0.0,JJ Bumrah
13,0,6,6,117,266.66666666666663,0.0,RD Chahar
14,0,5,6,125,140.0,100.0,KH Pandya
15,-1,4,6,140,300.0,125.0,JJ Bumrah
16,0,3,6,150,225.0,50.0,NM Coulter-Nile
17,0,2,5,155,100.0,100.0,JJ Bumrah
18,0,1,5,168,233.33333333333334,200.0,NM Coulter-Nile
19,0,0,4,176,66.66666666666666,200.0,TA Boult
0,0,19,8,5,100.0,0.0,JJ Bumrah
0,0,19,9,5,100.0,66.66666666666666,Mohammed Shami
0,-2,19,9,11,133.33333333333331,50.0,CJ Jordan
0,2,19,10,15,350.0,400.0,TA Boult
0,0,19,10,7,120.0,100.0,JP Duminy
1,0,18,10,19,133.33333333333331,0.0,R Shukla
2,0,17,10,20,20.0,0.0,S Kaul
3,0,16,10,27,100.0,125.0,R Shukla
4,0,15,10,43,300.0,100.0,S Kaul
5,0,14,9,52,66.66666666666666,0.0,S Nadeem
6,0,13,9,59,100.0,33.33333333333333,Imran Tahir
7,0,12,9,67,25.0,350.0,S Nadeem
8,0,11,9,77,180.0,100.0,Imran Tahir
9,-1,10,9,86,100.0,100.0,S Nadeem
10,-1,9,8,97,200.0,100.0,JP Duminy
11,0,8,8,108,140.0,400.0,MK Tiwary
12,-1,7,8,115,75.0,100.0,JP Duminy
13,0,6,8,124,100.0,200.0,Imran Tahir
14,0,5,8,141,100.0,375.0,S Kaul
15,0,4,8,157,275.0,200.0,R Shukla
16,-1,3,7,167,66.66666666666666,233.33333333333334,S Nadeem
17,0,2,5,169,25.0,0.0,Imran Tahir
18,0,1,5,186,250.0,350.0,MK Tiwary
19,-1,0,4,201,325.0,0.0,R Shukla
0,0,19,10,6,25.0,250.0,DS Kulkarni
1,0,18,10,19,240.0,100.0,BCJ Cutting
